"Threshold, e- for--->"	DES S/N 201		DES S/N 202		DES S/N 203		DES S/N 204		DES S/N 205		DES S/N 206		DES S/N 207		DES S/N 208		DES S/N 209		DES S/N 210		DES S/N 211		DES S/N 212		DES S/N 213		DES S/N 214		DES S/N 215		DES S/N 216	
Threshold voltage [V]	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1
2.00000	3.712953027080170E+05	3.905161292665410E+05	3.689547592525510E+05	3.871826279814840E+05	3.668979180341110E+05	3.746288039930750E+05	3.924311193664680E+05	3.668269924748550E+05	3.813667321224470E+05	3.842746800519650E+05	4.064034545400070E+05	4.009421864772530E+05	3.980909789951400E+05	3.741323250782790E+05	3.888848414036410E+05	3.796645187002900E+05	3.815085832409600E+05	3.889557669628970E+05	3.588833298381220E+05	3.741323250782790E+05	4.005119047510970E+05	4.002849429614760E+05	3.730684416894310E+05	3.591670320751480E+05	3.656212579674940E+05	3.998783030884050E+05	3.817213599187300E+05	3.998783030884050E+05	3.644155234601320E+05	3.801609976150850E+05	3.961192484478080E+05	3.700895682006560E+05
2.07000	4.266172389281230E+05	4.458380654866470E+05	4.238511421171180E+05	4.427882664386150E+05	4.212268964246260E+05	4.295251868576410E+05	4.488878645346780E+05	4.212978219838820E+05	4.365468172240400E+05	4.406604996609190E+05	4.624346463526790E+05	4.566187504936420E+05	4.539235792418930E+05	4.296670379761540E+05	4.447741820977990E+05	4.344190504463430E+05	4.367595939018090E+05	4.446323309792860E+05	4.104462114176300E+05	4.296670379761540E+05	4.549165370714850E+05	4.541363559196630E+05	4.260498344540710E+05	4.132123082286360E+05	4.190282040876730E+05	4.569733782899250E+05	4.352701571574220E+05	4.569733782899250E+05	4.171841395470020E+05	4.336388692945210E+05	4.519376635827100E+05	4.221489286949610E+05
2.25000	6.221590057984200E+05	6.387555866644520E+05	6.223717824761890E+05	6.393229911385040E+05	6.147827476357390E+05	6.271947205056350E+05	6.490397927566510E+05	6.168395888541790E+05	6.321595096535930E+05	6.410961301199180E+05	6.632958301672160E+05	6.530116240750170E+05	6.554230930897400E+05	6.274074971834040E+05	6.443587058457190E+05	6.320885840943360E+05	6.342163508720330E+05	6.420890879495090E+05	5.937178565365450E+05	6.274074971834040E+05	6.526569962787340E+05	6.521605173639390E+05	6.160594077023570E+05	6.001720824288910E+05	6.079738939471110E+05	6.579764132229750E+05	6.242158470168590E+05	6.579764132229750E+05	6.079029683878540E+05	6.235065914242940E+05	6.513094106528600E+05	6.079029683878540E+05
2.50000	1.200486015976290E+06	1.190698288798890E+06	1.217791852434890E+06	1.212685212168420E+06	1.191762172187740E+06	1.213607244438760E+06	1.228998090797430E+06	1.199989537061500E+06	1.207649497461210E+06	1.232544368760250E+06	1.234601209978690E+06	1.213678169998010E+06	1.222614790464340E+06	1.221125353719950E+06	1.227437728493780E+06	1.210841147627750E+06	1.211408552101800E+06	1.211692254338830E+06	1.123744560860710E+06	1.221125353719950E+06	1.220345172568130E+06	1.215451308979430E+06	1.165519715262820E+06	1.160413074996350E+06	1.162044362859250E+06	1.233608252149100E+06	1.164101204077690E+06	1.233608252149100E+06	1.163391948485120E+06	1.167789333159030E+06	1.222614790464340E+06	1.142965387419240E+06
2.75000	2.790069650034000E+06	2.840852350461690E+06	2.845036958457820E+06	2.935679823187690E+06	2.807162709814830E+06	2.867591286301400E+06	2.858796516953590E+06	2.809148625474010E+06	2.889720060789450E+06	2.925750244891770E+06	2.999441900959320E+06	2.952205478494460E+06	2.951425297342640E+06	2.892486157600450E+06	2.966461515905030E+06	2.843192893917150E+06	2.874400139990030E+06	2.802481622903890E+06	2.646729094776520E+06	2.892486157600450E+06	2.944119964739220E+06	2.943481634705910E+06	2.851703961027940E+06	2.853406174450090E+06	2.740776386350700E+06	2.829149633184360E+06	2.775246208149380E+06	2.829149633184360E+06	2.698788455270820E+06	2.785033935326780E+06	2.827731121999220E+06	2.755741679353830E+06
2.83000	3.239595844601990E+06	3.504928361780720E+06	3.252433370827420E+06	3.518404218039470E+06	3.263426832512190E+06	3.322791525609910E+06	3.400384087436580E+06	3.235694938842880E+06	3.434499281438970E+06	3.422441936365360E+06	3.706569726747080E+06	3.658978676485940E+06	3.605075251450970E+06	3.343714565590600E+06	3.528546573013150E+06	3.339175329798180E+06	3.400738715232860E+06	3.345984183486800E+06	3.176259320185890E+06	3.343714565590600E+06	3.607486720465690E+06	3.626140142550160E+06	3.453081777964190E+06	3.361800583201010E+06	3.251936891912630E+06	3.390880062496200E+06	3.420597871824690E+06	3.390880062496200E+06	3.168812136463950E+06	3.409462559021410E+06	3.400809640792110E+06	3.354211548360560E+06
3.00000	3.511524438791580E+06	4.075808188236660E+06	3.453507331319730E+06	3.948496809371160E+06	3.526347880676200E+06	3.591457544073710E+06	3.818915812609450E+06	3.464713569682260E+06	3.816291566916960E+06	3.751465605756480E+06	4.326104486853010E+06	4.273903275240190E+06	4.144393204037740E+06	3.607203018228660E+06	3.926793588238660E+06	3.667773445833750E+06	3.764161280863400E+06	3.789623556636500E+06	3.565569714945070E+06	3.607203018228660E+06	4.162124593851880E+06	4.204112524931750E+06	3.877713101233130E+06	3.632168815086970E+06	3.585287020418390E+06	3.892465617558490E+06	3.948851437167440E+06	3.892465617558490E+06	3.475139626892980E+06	3.918991776720440E+06	3.901544089143330E+06	3.848349919700920E+06
3.25000	3.296761845362760E+06	3.955021960822760E+06	3.211296546458620E+06	3.781041563966460E+06	3.305627540269830E+06	3.369389618041470E+06	3.667773445833750E+06	3.236049566639160E+06	3.633019921798050E+06	3.562378064778530E+06	4.220709105797790E+06	4.165174392899910E+06	4.007435949113350E+06	3.387759337888910E+06	3.746004337693720E+06	3.471522423370890E+06	3.577768911137200E+06	3.651815195001030E+06	3.377120504000430E+06	3.387759337888910E+06	4.035309693901170E+06	4.080702051825360E+06	3.676426364063050E+06	3.374496258307940E+06	3.375914769493070E+06	3.797283517036210E+06	3.815866013561420E+06	3.797283517036210E+06	3.279526934463420E+06	3.773168826888980E+06	3.784729693047800E+06	3.693519423843880E+06
3.50000	3.050579229183290E+06	3.683022441073910E+06	2.969440389393800E+06	3.519964580343110E+06	3.058239189583000E+06	3.117958510477010E+06	3.419959541791380E+06	2.992774898389210E+06	3.371659235937670E+06	3.311798063925150E+06	3.947787553778600E+06	3.890125074103020E+06	3.733237737027540E+06	3.137250262594790E+06	3.486416790814760E+06	3.222148157024880E+06	3.324919292387610E+06	3.405987206617840E+06	3.117603882680730E+06	3.137250262594790E+06	3.758132608326590E+06	3.805014402995170E+06	3.396695958355230E+06	3.097886577207410E+06	3.116752775969650E+06	3.562307139219270E+06	3.538830779105350E+06	3.562307139219270E+06	3.034337276113540E+06	3.505850394051060E+06	3.533795064398140E+06	3.421378052976510E+06
3.75000	2.926885053839880E+06	3.517624036887640E+06	2.852484142179760E+06	3.374141630511650E+06	2.934828716476610E+06	2.991214536085560E+06	3.281938403478140E+06	2.873123479923410E+06	3.229949968543100E+06	3.179025416996900E+06	3.775793072581470E+06	3.718839848498470E+06	3.568761365111620E+06	3.010789990440370E+06	3.343147161116540E+06	3.089375510096620E+06	3.187181856311400E+06	3.267044036034270E+06	2.972277411764060E+06	3.010789990440370E+06	3.596280482103150E+06	3.634651209660950E+06	3.235836789961390E+06	2.950578919002180E+06	2.981426808908160E+06	3.419746765113610E+06	3.357899677441900E+06	3.419746765113610E+06	2.907096822807300E+06	3.349175833653350E+06	3.389390625751810E+06	3.261724619090030E+06
